d_real_loss,d_recon,d_fake,err_enc
-4.037641687659743e-08,4.755531435307603e-08,2.8883885505592843e-08,0.09732189774513245
-5.527419943973655e-08,4.7852989126795364e-08,4.18245562627817e-08,0.09557753056287766
-6.663459828359919e-08,4.3681446015853e-08,3.937438464163279e-08,0.08889567852020264
-4.473184844755451e-08,4.523444019355338e-08,3.979180718260977e-08,0.09474789351224899
-7.991499018089598e-08,4.5650125457541435e-08,2.52610448114865e-08,0.07310664653778076
-4.215323201606225e-08,4.614453175122435e-08,4.633414718568929e-08,0.1457338035106659
-7.284504022209148e-08,5.358231192076346e-08,3.0161796615857384e-08,0.08715110272169113
-6.747627878667117e-08,4.527724328795557e-08,3.768201395359938e-08,0.08046595007181168
-5.443122574888548e-08,3.698868766832675e-08,3.720279551089334e-08,0.09505109488964081
-4.011328513797707e-08,3.908557388854206e-08,3.5977464563075046e-08,0.07981844991445541
-4.136984088631834e-08,3.667837233933824e-08,2.3478687438682755e-08,0.08267158269882202
-4.7954966220231654e-08,3.235453149841305e-08,2.847910529624187e-08,0.07781893759965897
-3.695403094639005e-08,2.7381286571426244e-08,3.011563975974241e-08,0.09412356466054916
-3.338147536169345e-08,2.4479673399468993e-08,2.0920515098055148e-08,0.07731570303440094
-3.2241203484772996e-08,3.3024399215264566e-08,2.6911562756026797e-08,0.13423225283622742
-2.654588726613838e-08,2.128777865095799e-08,1.92548057498243e-08,0.07472939044237137
-2.3114862912620993e-08,2.1496097346584975e-08,1.4800942693682373e-08,0.10358249396085739
-1.947107897137812e-08,2.1778927106197443e-08,1.3963905587388581e-08,0.1081744059920311
-2.1087307899847474e-08,1.762621337775272e-08,1.5609636250246695e-08,0.07139924168586731
-1.811545047303298e-08,1.7767007420843584e-08,1.5069137049295023e-08,0.11582188308238983
-2.2334951665925473e-08,1.9766206449389756e-08,1.3331961312701424e-08,0.09115365892648697
-1.7170526334098213e-08,1.2296519358301339e-08,1.2590158249281558e-08,0.07986737787723541
-1.500745305804685e-08,1.608125721475062e-08,1.066523047654755e-08,0.08831711113452911
-9.937568101747729e-09,1.302945218384366e-08,1.2365208412745687e-08,0.10099488496780396
-1.0913835168935293e-08,1.0373866210500182e-08,8.893474401361345e-09,0.06889333575963974
-8.402532003515262e-09,7.875346597074895e-09,8.364974490859822e-09,0.06802574545145035
-1.3156968847738426e-08,9.425440872234958e-09,8.756224190165085e-09,0.08445487171411514
-8.413842067511723e-09,9.015560742398065e-09,6.792891138474033e-09,0.07913016527891159
-1.0899791291762995e-08,8.815765006886522e-09,7.536383073158959e-09,0.0801343247294426
-6.968871257839737e-09,6.8396217578481355e-09,5.575281569747403e-09,0.0646451935172081
-5.533519864542313e-09,5.243525613707334e-09,4.42204450834538e-09,0.07703426480293274
-5.163905747451736e-09,4.463386549247161e-09,4.594761904286315e-09,0.06567899137735367
-4.053541058368637e-09,3.936146519833983e-09,3.74751607523649e-09,0.09911876171827316
-4.789150409578724e-09,3.7159384458362865e-09,3.83186815611225e-09,0.09049166738986969
-4.2814525258449976e-09,4.056130098462063e-09,3.0495508340777633e-09,0.07595125585794449
